Nº Registro;Denominación;Fecha última modificación;Dirección;Código Postal;Localidad;Provincia;Teléfono;Email;Web;Naturaleza;Ambito Sectorial;Destinatarios
A-0012;ASOCIACION COYANTINA DE VOLUNTARIADO (ACOVOL);07/05/15;CALLE SAN MIGUEL 16;24200;VALENCIA DE DON JUAN;LEON;652 953465;;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;EXCLUSION SOCIAL, [PERSONAS INMIGRANTES, REFUGIADAS Y ASILADAS], INFANCIA, PERSONAS MAYORES, POBLACIÓN GENERAL
A-0013;FUNDACION RONDILLA;02/05/18;CALLE MARQUES DE SANTILLANA 4- BAJO;47010;VALLADOLID;VALLADOLID;983 251090;fundacion@rondilla.org;www.rondilla.org;FUNDACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, CULTURALES, EDUCATIVAS, OCIO Y TIEMPO LIBRE, DEFENSA DE LOS DERECHOS HUMANOS;[PERSONAS INMIGRANTES, REFUGIADAS Y ASILADAS], JUVENTUD, POBLACIÓN GENERAL
A-0014;ASOCIACION RED MADRE BURGOS;07/05/15;CALLE VICTORIA BALFE 12-2º A;09006;BURGOS;BURGOS;617 909312;burgos@redmadre.es;www.redmadre.es;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO, SANITARIAS;(MUJER)
A-0015;FUNDACION INTERMON OXFAM;02/01/15;CALLE TERESA GIL 17;47002;VALLADOLID;VALLADOLID;93 4820700;info@intermonoxfam.org;www.intermonoxfam.org;FUNDACIÓN;COOPERACION AL DESARROLLO;POBLACIÓN GENERAL
A-0016;ASOCIACION DE FAMILIARES DE ENFERMOS DE ALZHEIMER Y PROBLEMAS NEUROLOGICOS DERIVADOS DE LA EDAD - AFAMER;18/02/21;CALLE ALEJANDRO RODRIGUEZ DE VALCARCEL 12-BAJO;09550;VILLARCAYO ;BURGOS;947 131476;;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;PERSONAS MAYORES
A-0017;ASOCIACION DE FAMILIARES DE ENFERMOS DE ALZHEIMER DE SEGOVIA;18/09/17;CALLE ANDRES REGUERA ANTON S/N - Centro Integral de Servicios Sociales de la Albuera;40004;SEGOVIA;SEGOVIA;921 431678;alzheimersg@gmail.com;www.alzheimersegovia.com;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;PERSONAS MAYORES
A-0018;ASOCIACIÓN DE PADRES DE NIÑOS SORDOS DE SALAMANCA (ASPAS SALAMANCA);02/02/21;CALLE BARCO 20 - BAJO;37003;SALAMANCA;SALAMANCA;923 124810;saaf@aspas-salamanca.es;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;DISCAPACIDAD SENSORIAL
A-0019;CONFEDERACIÓN DE PERSONAS CON DISCAPACIDAD FÍSICA DE CASTILLA Y LEÓN (COCEMFE-CASTILLA Y LEÓN);10/01/20;CALLE GASPAR ARROYO 6 BAJO;34005;PALENCIA;PALENCIA;663 13253;federacionminu@gmail.com;;FEDERACIÓN-CONFEDERACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;ENFERMEDAD FÍSICA
A-0020;ASOCIACIÓN DE FAMILIARES Y AMIGOS DE ENFERMOS DE ALZHEIMER Y OTRAS DEMENCIAS DE ZAMORA (AFAZA);28/12/20;CALLE HERNAN CORTES 40BIS;49021;ZAMORA;ZAMORA;980 510607;afa@alzheimerzamora.com;www.alzheimerzamora.com;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;PERSONAS MAYORES
A-0021;CAJA DE BURGOS FUNDACION BANCARIA;07/04/16;PLAZA DE LA LIBERTAD S/Nº;09004;BURGOS;BURGOS;947 258 113;obrasocial@cajadeburgos.es;www.medioambientecajadeburgos.com;FUNDACIÓN;DEFENSA Y PROTECCION DEL MEDIO AMBIENTE;POBLACIÓN GENERAL
A-0022;ASOCIACIÓN BURGALESA DE ESCLEROSIS MÚLTIPLE (ASBEM);26/11/20;CALLE MONTE GORBEA 11, BAJO;09200;MIRANDA DE EBRO;BURGOS;947 310322;asbemiranda@hotmail.com;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;ENFERMEDAD FÍSICA
A-0023;ASOCIACION COMARCAL DE PENSIONISTAS Y JUBILADOS "VIRGEN DE ALTAMIRA";18/03/15;CALLE TORRE DE MIRANDA 6-BAJO;09200;MIRANDA DE EBRO;BURGOS;947 313741;jjpedro2008@yahoo.es;www.vdpburgos.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;PERSONAS MAYORES
A-0024;ASOCIACIÓN PARKINSON BURGOS;10/02/21;PASEO DE LOS COMENDADORES - 2 (HOSPITAL MILITAR);09001;BURGOS;BURGOS;947 279750;info@parkinsonburgos.org;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;ENFERMEDAD FÍSICA
A-0025;FEDERACIÓN PROVINCIAL DE PENSIONISTAS Y JUBILADOS DE VALLADOLID;25/11/20;CALLE OLMEDO 5;47013;VALLADOLID;VALLADOLID;983 236678;fedva@telefonica.net;;FEDERACIÓN-CONFEDERACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO;PERSONAS MAYORES
A-0026;ASOCIACION DE COOPERACION HISPANO BULGARA;24/10/11;C/ SAN JUAN DE LA CRUZ, 2  2º DCHA.;47140;LAGUNA DE DUERO;VALLADOLID;692 699319;;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;[PERSONAS INMIGRANTES, REFUGIADAS Y ASILADAS]
A-0027;ASOCIACION DE PADRES Y AMIGOS DEL SORDO DE VALLADOLID (ASPAS VALLADOLID);21/12/16;CALLE ECUADOR,  Nº 17- LOCAL;47014;VALLADOLID;VALLADOLID;983 395308;aspasvalladolid@telefonica.net;;ASOCIACIÓN;DESARROLLO DE LA VIDA ASOCIATIVA;DISCAPACIDAD SENSORIAL
A-0028;ASOCIACION PARA LA DEFENSA DE LA NATURALEZA WWF/ADENA;02/12/10;CALLE GRAN VÍA DE SAN FRANCISCO Nº 8-ESCALERA D;;MADRID;MADRID;91 3540578;legal@wwf.es;www.wwf.es;ASOCIACIÓN;DEFENSA Y PROTECCION DEL MEDIO AMBIENTE;VOLUNTARIADO
A-0029;FUNDACION JUAN SOÑADOR;14/07/15;AVENIDA ANTIBIOTICOS 126;24009;LEON;LEON;987 219345;fundacionjuans@fundacionjuans.org;www.fundacionjuans.org;FUNDACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;INFANCIA, JUVENTUD
A-0030;ASOCIACION HUEBRA INICIATIVAS RURALES;04/08/17;CALLE HUESOS 3- BAJO;47800;MEDINA DE RIOSECO;VALLADOLID;983 725000;huebra@cdrtcampos.es;www.huebra.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, PROMOCION DEL MUNDO RURAL;POBLACIÓN GENERAL
A-0031;ASOCIACIÓN ASPAYM CASTILLA Y LEÓN;15/04/19;CALLE SEVERO OCHOA 33;47130;SIMANCAS;VALLADOLID;983 591048;aspaymcyl@oficinas.aspaymcyl.org;www.aspaymcyl.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;ENFERMEDAD FÍSICA
A-0032;FUNDACION TORMES-EB;06/05/15;LUGAR FINCA ALDEHUELA DE TORMES S/N;37170;ZARAPICOS;SALAMANCA;923 265953;contacta@fundaciontormes-eb.org;www.fundaciontormes-eb.org;FUNDACIÓN;DEFENSA Y PROTECCION DEL MEDIO AMBIENTE;VOLUNTARIADO
A-0033;ASOCIACIÓN CASTELLANO-LEONESA DE JUGADORES REHABILITADOS MIGUEL DELIBES;24/11/20;CALLE BATUECAS S/N;47010;VALLADOLID;VALLADOLID;983 252489;ajrmigueldelibes@hotmail.com;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, SANITARIAS;TOXICOMANÍAS Y ADICCIONES
A-0034;FUNDACION CAUCE;11/06/19;AVENIDA MEDINA DEL CAMPO , Nº9;47014;VALLADOLID;VALLADOLID;983 456634;info@fundacioncauce.org;www.fundacioncauce.org;FUNDACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, EDUCATIVAS;EXCLUSION SOCIAL, INFANCIA, [PERSONAS INMIGRANTES, REFUGIADAS Y ASILADAS], JUVENTUD, PERSONAS MAYORES, ENFERMEDAD FÍSICA
A-0035;FUNDACION TUTELAR FECLEM;25/05/18;CALLE LOPE DE VEGA 12 BAJO;24002;LEON;LEON;987 218851;dirección@feclem.org;www.feclem.org;FUNDACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO;ENFERMEDAD MENTAL
A-0036;ASOCIACION CENTRO DE DESARROLLO RURAL EL SEQUILLO;07/04/15;C/ MAYOR, 4;47830;TORDEHUMOS;VALLADOLID;983 714586;cdrsequillo@wanadoo.es;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, EDUCATIVAS;DISCAPACIDAD PSIQUICA, INFANCIA, PERSONAS MAYORES
A-0037;ASOCIACION DE VOLUNTARIADO DE LA BAÑEZA DE AYUDAS DIVERSAS "AVBADI";26/08/15;PLAZA OBISPO ALCOLEA S/N;24750;BAÑEZA (LA);LEON;653 458881;avbadi@gmail.com;www.avbadi.blogspot.com;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;POBLACIÓN GENERAL
A-0038;SOLIDARIDAD, EDUCACION Y DESARROLLO (SED);21/05/20;AVENIDA MADRID 66;47008;VALLADOLID;VALLADOLID;983 476162;sedcompostela@sed-ongd.org;sed-ongd.org;ASOCIACIÓN;COOPERACION AL DESARROLLO;EXCLUSION SOCIAL
A-0039;CRUZ ROJA ESPAÑOLA;23/06/20;CALLE C/ARZOBISPO JOSÉ DELICADO, 5;47014;VALLADOLID;VALLADOLID;983 336777;castillayleon@cruzroja.es;www.cruzroja.es/castillaleon;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO, EMERGENCIAS Y PROTECCION CIVIL, PROMOCION DEL MUNDO RURAL, CULTURALES, EDUCATIVAS, DESARROLLO DE LA VIDA ASOCIATIVA, DEFENSA Y PROTECCION DEL MEDIO AMBIENTE, SANITARIAS, DEFENSA DE LOS DERECHOS HUMANOS, COOPERACION AL DESARROLLO;EXCLUSION SOCIAL, INFANCIA, [PERSONAS INMIGRANTES, REFUGIADAS Y ASILADAS], (MUJER), DISCAPACIDAD PSIQUICA, JUVENTUD, DISCAPACIDAD SENSORIAL, PERSONAS MAYORES, ENFERMEDAD FÍSICA, TOXICOMANÍAS Y ADICCIONES, POBLACIÓN GENERAL, VOLUNTARIADO
A-0040;FUNDACION ADSIS;28/09/18;CALLE MIRABEL 9;47003;VALLADOLID;VALLADOLID;983 378285;valladolid@fundacionadsis.org;www.fundacionadsis.org;FUNDACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO, EDUCATIVAS, COOPERACION AL DESARROLLO;EXCLUSION SOCIAL, INFANCIA, [PERSONAS INMIGRANTES, REFUGIADAS Y ASILADAS], JUVENTUD, POBLACIÓN GENERAL
A-0041;COOPERACION INTERNACIONAL ONG;16/08/17;CALLE NUÑEZ MORGADO, Nº 3;28036;MADRID;MADRID;902 023200;cyleon@ciorg.org;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO, DEFENSA DE LOS DERECHOS HUMANOS;JUVENTUD, VOLUNTARIADO
A-0042;ASOCIACION MOVIMIENTO PRO- DESARROLLO COOPERA;30/08/10;AVENIDA ROMA 9, 2º IZQDA.;24001;LEON;LEON;987 242338;;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO, EDUCATIVAS, COOPERACION AL DESARROLLO;VOLUNTARIADO
A-0043;ASOCIACION CONTRA LA LEUCEMIA Y ENFERMEDADES DE LA SANGRE (ASCOL);09/07/15;C/ RIVERA DEL PUENTE, 6;37008;SALAMANCA;SALAMANCA;923 260066;ascolsalamanca@terra.es;www.ascolcyl.org;ASOCIACIÓN;SANITARIAS;ENFERMEDAD FÍSICA
A-0044;ASECAL;07/06/19;CALLE PLATEROS 19-BAJO;37006;SALAMANCA;SALAMANCA;923 121354;voluntariado@asecal.org;www.asecal.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;VOLUNTARIADO
A-0045;FUNDACION OXIGENO;13/10/17;AVENIDA COSTA RICA 150;09001;BURGOS;BURGOS;947 256752;info@fundacionoxigeno.org;www.fundacionoxigeno.org;FUNDACIÓN;DEFENSA Y PROTECCION DEL MEDIO AMBIENTE;VOLUNTARIADO
A-0046;AVIVA - ASOCIACION PRESTADORA SERVICIOS A PERSONAS CON DISCAPACIDAD Y SU ENTORNO;30/08/10;CALLE PROFESOR SAEZ 63ºA;37007;SALAMANCA;SALAMANCA;923 123385;info@avivasalamanca.org;www.avivasalamanca.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;DISCAPACIDAD PSIQUICA, DISCAPACIDAD SENSORIAL
A-0047;COOSOCIAL - COOPERACIÓN SOCIAL CASTILLA Y LEÓN;24/11/20;CALLE JUAN DE JUNI 10 ENTPTA;47006;VALLADOLID;VALLADOLID;983 333993;cosocialcyl@telefonica.net;cooperacionsocialcyl.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;PERSONAS MAYORES
A-0048;ACCEM;09/07/19;CALLE ANUNCIATA 48;24010;SAN ANDRES DEL RABANEDO;LEON;91 5327478;leon@accem.es;www.accem.es;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;VOLUNTARIADO
A-0049;CASA ESCUELAS PIAS SANTIAGO UNO (PP ESCOLAPIOS) DE SALAMANCA;19/06/18;CALLE SANTIAGO 1;37008;SALAMANCA;SALAMANCA;923 219511;correo@casaescuelasantiagouno.es;www.casaescuelasantiagouno.es;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;ACCION SOCIAL Y SERVICIOS SOCIALES, EDUCATIVAS, SANITARIAS, OCIO Y TIEMPO LIBRE;EXCLUSION SOCIAL, [PERSONAS INMIGRANTES, REFUGIADAS Y ASILADAS], JUVENTUD, POBLACIÓN GENERAL
A-0050;!VAYA TELA!, ANIMACION;14/03/17;CALLE RECONDO 17 ENPTA. A;47007;VALLADOLID;VALLADOLID;629 916423;vayatelaong@hotmail.com;www.vayatelaong.spaces.live.com;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, EDUCATIVAS, OCIO Y TIEMPO LIBRE;
A-0051;FUNDACIÓN TUTELAR CASTELLANO LEONESA DE PERSONAS CON DISCAPACIDAD INTELECTUAL O DEL DESARROLLO (FUTUDIS);24/11/20;CALLE VINOS DE RUEDA 22(ENTRADA POR YANGUAS);47008;VALLADOLID;VALLADOLID;983 399566;ftcldm@ftcldm.org;www.ftcldm.org;FUNDACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;DISCAPACIDAD PSIQUICA
A-0052;FUNDACION SECRETARIADO GITANO (FSG);10/12/19;CALLE VERBENA 6 BAJO;47005;VALLADOLID;VALLADOLID;91 4220960;direccioncyl@gitanos.org;WWW.gitanos.org;FUNDACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO;EXCLUSION SOCIAL, VOLUNTARIADO
A-0053;ASOCIACION O.N.G.D. CIVES MUNDI;13/08/13;CALLE NICOLAS RABAL 23 C 3º;42003;SORIA;SORIA;975 233169;civesmundi@civesmundi.es;www.civesmundi.es;ASOCIACIÓN;COOPERACION AL DESARROLLO;VOLUNTARIADO
A-0055;ASOCIACIÓN INTERNACIONAL DEL TELÉFONO DE LA ESPERANZA (ASITES);26/11/20;CALLE SAN FERNANDO 7 LOCAL;47010;VALLADOLID;VALLADOLID;983 307077;eloygonzalez@telefonodelaesperanza.org;www.telefonodelaesperanza.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO;VOLUNTARIADO
A-0056;ASOCIACIÓN LEONESA DE MUJERES SIMONE BEAUVOIR;24/11/20;AVENIDA LANCIA Nº 12, 4º A Y B;24003;LEON;LEON;987 208457;simonebeauvoir@terra.es;www.simonebeauvoir.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;INFANCIA, (MUJER), VOLUNTARIADO
A-0057;CLUB DEPORTIVO AVIVA ENRIQUE SANCHEZ-GUIJO ACEVEDO;02/12/10;CALLE PROFESOR SAEZ 6 3º A;37007;SALAMANCA;SALAMANCA;923 123385;cursos@avivasalamanca.org;www.avivasalamanca.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;DISCAPACIDAD PSIQUICA
A-0058;ASOCIACION JUVENIL AVIVA;12/02/19;CALLE PROFESOR SAEZ 6 3º A;37007;SALAMANCA;SALAMANCA;923 123385;juventud@avivasalamanca.org;www.avivasalamanca.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;DISCAPACIDAD PSIQUICA
A-0059;FEDERACIÓN DE ASOCIACIONES GITANAS DE CASTILLA Y LEÓN;24/11/20;CALLE JULIO RUIZ DE ALDA 55, BAJO;47013;VALLADOLID;VALLADOLID;983 226748;fedasgitcyl@telefónica.net;;FEDERACIÓN-CONFEDERACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;EXCLUSION SOCIAL
A-0060;CONFEDERACIÓN DE CENTROS DE DESARROLLO RURAL (COCEDER);25/11/20;CALLE FUENTE EL SOL 2 ENTREPLANTA;47009;VALLADOLID;VALLADOLID;983 371279;info@coceder.org;www.coceder.org;FEDERACIÓN-CONFEDERACIÓN;PROMOCION DEL MUNDO RURAL;POBLACIÓN GENERAL
A-0061;FEDERACIÓN ASPACE CASTELLANO-LEONESA;24/11/20;CALLE MACIZO DE GREDOS 45-BAJO;47008;VALLADOLID;VALLADOLID;983 246798;federaspacecyl@yahoo.es;www.federacionaspacecyl.org;FEDERACIÓN-CONFEDERACIÓN;FOMENTO DEL VOLUNTARIADO;DISCAPACIDAD PSIQUICA
A-0062;ASOCIACION PARA LA PROTECCION DEL MENOR EN LOS PROCESOS DE SEPARACION DE SUS PROGENITORES - APROME;19/06/14;CALLE DOS DE MAYO 13, 2º B;47001;VALLADOLID;VALLADOLID;983 296844;proteccion.menor@aprome.org;www.aprome.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;INFANCIA
A-0063;PLENA INCLUSIÓN CASTILLA Y LEÓN;24/11/20;PASEO HOSPITAL MILITAR 40 LOCAL 34;47003;VALLADOLID;VALLADOLID;983 320116;feapscyl@feapscyl.org;www.feapscyl.org;FEDERACIÓN-CONFEDERACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, DEPORTIVAS, FOMENTO DEL VOLUNTARIADO, CULTURALES, OCIO Y TIEMPO LIBRE;VOLUNTARIADO
A-0064;FEDERACIÓN POLIDEPORTIVA DE DISCAPACITADOS DE CASTILLA Y LEÓN (FECLEDMI);24/11/20;C/ GABILONDO, 17-19, 1º C;47007;VALLADOLID;VALLADOLID;983 189861;fecledmi@fecledmi.org;www.fecledmi.org;FEDERACIÓN-CONFEDERACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, DEPORTIVAS, FOMENTO DEL VOLUNTARIADO, OCIO Y TIEMPO LIBRE;DISCAPACIDAD PSIQUICA, DISCAPACIDAD SENSORIAL
A-0065;ASOCIACIÓN PARÁLISIS CEREBRAL Y PATOLOGÍAS AFINES (ASPACE-ÁVILA);24/11/20;CALLE SANTO TOMAS Nº 10;05003;AVILA;AVILA;920 239530;Gerencia@aspaceavila.org;www.aspaceavila.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;DISCAPACIDAD PSIQUICA
A-0066;INSTITUTO DE INVESTIGACIONES CIENTIFICAS Y ECOLOGICAS. INICE;30/01/20;C/ DIEGO PISADOR, S/N;37008;SALAMANCA;SALAMANCA;923 264539;inice@inice.es;www.inice.es;ASOCIACIÓN;DEPORTIVAS, FOMENTO DEL VOLUNTARIADO, CULTURALES, DEFENSA Y PROTECCION DEL MEDIO AMBIENTE;JUVENTUD, PERSONAS MAYORES, VOLUNTARIADO
A-0067;ASOCIACIÓN DE AYUDA A VÍCTIMAS DE AGRESIONES SEXUALES (ADAVAS);26/11/20;CALLE GRAN VIA DE SAN MARCOS 4 - 2º DCHA;24002;LEON;LEON;987 230062;adavasleon@gmail.com;www.adavas.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;(MUJER)
A-0068;CIRCULO DE CULTURA POPULAR RONDILLA;24/06/15;CALLE MARQUES DE SANTILLANA 4 BAJO;47010;VALLADOLID;VALLADOLID;983 251090;asociacionvecinal@rondilla.org;www.rondilla.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, CULTURALES, EDUCATIVAS, OCIO Y TIEMPO LIBRE;JUVENTUD
A-0069;ASOCIACIÓN BASIDA;25/11/20;C/ REY, 71 BAJO H;28300;ARANJUEZ;MADRID;91 8923537;aranjuez@basida.org;www.basida.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;ENFERMEDAD FÍSICA
A-0070;FUNDACION PREMYSA;20/10/11;C/ LOS OLIVOS,  Nº 4;37700;BEJAR;SALAMANCA;923 408012;premysa@premysa.org;www.premysa.org;FUNDACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;DISCAPACIDAD PSIQUICA, DISCAPACIDAD SENSORIAL
A-0071;FUNDACION INTERED;02/01/15;CALLE RUFINO GONZALEZ Nº 40-2º IZQ.;28037;MADRID;MADRID;983 212664;castillaleon@intered.org;www.intered.org;FUNDACIÓN;COOPERACION AL DESARROLLO;VOLUNTARIADO
A-0072;FUNDACION -GLOBAL NUTURE;05/09/16;CALLE CORRO POSTIGO 1;34337;FUENTES DE NAVA;PALENCIA;979 842398;lanava@fundacionglobalnature.org;www.fundacionglobalnature.org;FUNDACIÓN;DEFENSA Y PROTECCION DEL MEDIO AMBIENTE;
A-0073;ASOCIACIÓN DE PADRES MINUSVÁLIDOS PSIQUICOS CENTRO VILLA SAN JOSÉ;25/11/20;VILLA S. JOSE. LOS TRES PASOS. CAMINO MIRANDA, S/N;34003;PALENCIA;PALENCIA;979 747022;guanelianos.villasjose@guanelliani.it;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;DISCAPACIDAD PSIQUICA
A-0074;ASOCIACION INFANTO-JUVENIL "CAMINANTES";30/08/10;CALLE JOSE ZORRILLA 119;40006;SEGOVIA;SEGOVIA;921 444953;caminantesnja@terra.es;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;INFANCIA
A-0075;ASOCIACION CENTRO DE DESARROLLO RURAL VALDECEA;30/08/10;C/ Jose Antonio Primo de Rivera, 1;47680;MAYORGA;VALLADOLID;983 751568;valdecea@cdrtcampos.es;www.valdecea.com;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, PROMOCION DEL MUNDO RURAL;POBLACIÓN GENERAL
A-0076;VOLUNTARIADO VICENCIANO DE VALLADOLID;19/06/15;CALLE MADRE DE DIOS 9;47004;VALLADOLID;VALLADOLID;983 254508;;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;EXCLUSION SOCIAL
